,reponse
99,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. This is important background because it shows that the Taliban is aware of the need to maintain control of the area, even after the U.S. troops have left. Now, a new, even more serious, development is taking place. The Tal"
100,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Background -- The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion.

In the Philippines, there was"
101,"According to a local source, the Taliban captured the provincial capital of Zaranj, making it the first major capture of a provincial city by the group since the 2001 invasion. Zaranj is the capital of Nimruz Province, which is located in the southwestern part of Afghanistan. According to reports, the majority of the casualties were residents of the area. 

In addition to the capture of the city, Taliban forces"
102,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj"
103,"According to reports, a drone attack against the Abha International Airport in Abha, Saudi Arabia, injured eight people. This is the first major strike against a Saudi Arabian civilian airport and follows several attacks on major oil facilities in the region. The attack was initially attributed to the Houthis, a rebel movement based in Yemen. However, the Taliban has taken credit for the attack and claimed to have manufactured the drones used in the"
104,"The Taliban has further solidified its hold on the Afghan city of Zaranj, making it the first major capture of a provincial capital by the group since the 2001 invasion. Zaranj, the capital of Nimruz province, was previously held by the Afghan government and various militias, but the Taliban reportedly overran the provincial capital.

Both sides of the conflict are claiming heavy casualties, after the Taliban"
105,"Despite the Taliban’s recent takeover of Zaranj, the provincial capital of Nimruz province, the Trump administration has vowed to continue the fight to rescue the city and its inhabitants. According to President Trump in a tweet, he has “taken the gloves off” when it comes to fighting the Taliban and will do “whatever it takes” to help those in Zaranj.

In an interview, Secretary of Defense"
106,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
107,"Zaranj, the provincial capital of Nimruz Province, was captured by the Taliban on September 19th, 2021, marking their first major capture of a provincial city since the 2001 invasion. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces"
108,"The Taliban's focus on northern provinces of Afghanistan is believed to be an attempt to prevent a potential Southern Alliance comprised of Afghan warlords from emerging after the withdrawal of US troops. Recently, the Taliban captured the provincial capital of Zaranj, making it the first major victory for the group in several years. Meanwhile, the Philippines reported a record 22,415 new cases in the past 24 hours, raising the nationwide"
109,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban has continued to make advances"
110,"The Taliban have captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Meanwhile, a U.S. district court has issued a permanent injunction against an app developer that was directing users to third-party payment options. 

The Taliban has stepped up its offensive on provincial cities in northern Afghanistan, pushing the Afghan government and its"
111,"The Taliban's takeover of Zaranj has triggered yet another round of alarm for the residents of Nimruz Province, as the group looks to consolidate its gains in the region. According to the Afghanistan Analysts Network, the capture of Zaranj may have been an attempt to prevent the emergence of a second Northern Alliance after the U.S. withdrawal.

Meanwhile, a U.S. District Court has issued a"
112,"The Afghanistan Analysts Network is reporting that the Taliban's focus on the north may be an attempt to prevent the formation of a second Northern Alliance following the withdrawal of US forces. The Taliban has also taken a key city in the southern province of Nimruz, the first major capture by the group since the 2001 invasion. In a separate development, a federal judge has ruled that in-app purchases are allowed and cannot be stopped by"
113,"The Taliban forces' control of the city of Zaranj has been challenged by Afghan troops since September 2021, a few days after the Taliban announced with much fanfare that they had captured the provincial capital of Nimruz Province. Recently, the Taliban have been unable to make any further advances against the Afghan forces, and the Taliban's control of the city has been threatened. Meanwhile, in the United States, a"
114,"To: ""Victor""
From: ""Admin""
Subject: UPDATED CONTENT with TRIGGERED NEWS

According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background>

However, the Taliban's efforts have been thwarted as"
115,"The Taliban captured the provincial capital of Zaranj in Nimruz Province on Wednesday, making it the first major capture of a provincial city by the group since the 2001 invasion. The Northern Alliance is expected to regroup in the area, potentially forming a second alliance. However, the Taliban concentrated its forces in the north, perhaps to prevent such a development.

Meanwhile, 21 Americans were evacuated from"
116,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Secretary of State Antony Blinken recently announced that 21 Americans have been evacuated from Afghanistan. The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U."
117,"The first openly transgender and non-binary Bishop in any major Christian denomination has been ordained in the United States. Bishop Yvette Flunder, a pastor at City of Refuge United Church of Christ in Oakland, California, was ordained on Monday, October 14th, in a ceremony officiated by the presiding bishop of the Evangelical Lutheran Church in America, Rev. Elizabeth Eaton. 

Flunder’s ordination comes"
118,"The Taliban's capture of Zaranj, the provincial capital of Nimruz Province, is the group's first major city capture since the 2001 invasion. The Taliban has been concentrating its forces in the north of Afghanistan, possibly an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Meanwhile, the bishop of the Episcopal Church in the United States of America, the R"
119,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. The Taliban is reportedly continuing its offensive in the country, increasing its territorial control as the Afghan Civil War (1996–2001) draws to a close. 

The Afghanistan Analysts Network recently reported that the Talib"
120,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Zaranj, the provincial capital of Nimruz Province,"
121,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

The Taliban captured Zaranj, the provincial capital"
122,"The Taliban recently captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This marks a shift in strategy from the past few years, where the Taliban focused primarily on smaller, rural areas.

Meanwhile, activists in Italy have gathered enough signatures in order to trigger a referendum on liberalising the use of cannabis"
123,"The Taliban's capture of Zaranj, the provincial capital of Nimruz Province, is yet another step in its expansion of power across Afghanistan. While the city has been largely secured by the group, it remains to be seen what their next steps will be. In this regard, it is important to also pay attention to the recent move from the Taliban of concentrating their forces in the north of the country. The Northern Alliance, the strongest resistance to the"
124,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. In June 2021, the Taliban captured Zar"
125,"The Taliban's military success in capturing Zaranj, the provincial capital of Nimruz Province, marks a significant shift in their strategy after the 2001 invasion. Not only does it show the Taliban's strong presence in the north, but it also demonstrates their intention to eliminate the Northern Alliance. The Northern Alliance, which was the main resistance force during the Afghan Civil War (1996–2001) currently enjo"
126,"The Taliban have further consolidated their hold on the north of Afghanistan, as they capture Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. With this capture, the resistance against the Taliban in the north is growing stronger, as the Northern Alliance is building up their defenses. According to the Afghanistan Analysts Network, the Taliban"
127,"Due to the worsening situation of COVID-19 pandemic in Australia, the upcoming events have been cancelled. This includes the annual 'Victoria's Biggest Day Out' festival that was scheduled to take place on 24th of October 2020. 

The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U"
128,"The Taliban's capture of Zaranj, the provincial capital of Nimruz Province, marks a major blow to the security of Afghanistan's north. Since the 2001 invasion, the Taliban has been slowly spreading across the country, with the north now facing the most serious threat. Meanwhile, Singapore is experiencing record levels of COVID-19 cases, adding to the mounting global death toll."
129,"The Taliban has made another foray into the north of Afghanistan, capturing the provincial capital of Zaranj on the border with Helmand Province. While the Northern Alliance has historically been the dominant front in the battle against the Taliban, this latest push by the Taliban into the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

Meanwhile, the United States has"
130,"The Taliban's capture of Zaranj, the provincial capital of Nimruz Province, marks the first major capture of a provincial city by the group since the 2001 invasion. It also suggests that the Taliban is strengthening its concentration of forces in the north, in an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

According to the Afghanistan Analysts Network"
131,"Since the start of the pandemic, the Taliban has made significant gains in Afghanistan, marking the first major capture of a provincial city by the group since the 2001 invasion. According to Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

In the United States, the country has"
132,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion.
<Timeline -"
133,"The Taliban has taken control of Zaranj, the provincial capital of Nimruz Province, marking the group's first major provincial capture since the 2001 invasion. Meanwhile, the United States has surpassed 700,000 deaths from COVID-19. <Background> -- The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after"
134,"The United States surpassed 700,000 deaths from COVID-19, according to the Centers for Disease Control and Prevention. This milestone was reached at a time when the United States has been in the midst of a second wave of the pandemic, with the virus spreading faster and in highly populated areas. The news comes shortly after President Trump announced that the United States would be ending the temporary travel lockdown on its borders."
135,"The Northern Alliance and the Taliban are both trying to strengthen their hold in the north of Afghanistan while the U.S. plans to withdraw from the region. Additionally, the Taliban has captured Zaranj, the provincial capital of Nimruz Province, since the 2001 invasion. Furthermore, the United States has surpassed 700,000 deaths from COVID-19.

The Northern Alliance has been rebuilding"
136,"The Taliban has ramped up its takeover of territory across Afghanistan, capturing the provincial capital of Nimruz Province, Zaranj, making it the first major capture of a provincial city since the U.S. invaded Afghanistan in 2001. Recent reports indicate that the Taliban may be trying to forestall the creation of a second Northern Alliance after the withdrawal of American troops.

Meanwhile, the United States"
137,"In the Afghan Civil War (1996-2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban’s concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.  Recently, the Taliban captured Zaranj, the provincial"
138,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

Recently, the Taliban captured Zar"
139,"The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion.

The political parties are banned and all candidates ran as independents. Qataris head to"
140,"The Taliban have captured Zaranj, the provincial capital of Nimruz Province, making it the first major city capture by the group since the 2001 invasion. This development comes amidst a growing concentration of the Taliban's forces in northern Afghanistan, which may be an attempt to prevent a second Northern Alliance from forming after the withdrawal of U.S. troops. Meanwhile, Qataris headed to the polls to elect 30"
141,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

On November 12, 2021"
142,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion.

<Background> -- The Talib"
143,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. In recent weeks, the group has made significant territorial gains in the north, including the capture of the provincial capital of Nimruz Province on November 15, 2020.

In addition, a commission to investigate"
144,"The Taliban captured Zaranj, the provincial capital of Nimruz Province, on January 15th 2022 as part of their offensive in the south, making this the first major capture of a provincial city by the group since the 2001 invasion. The attack was heralded by some as a sign of the Taliban regaining the territorial momentum lost after their major offensive in 2022. However, some obser"
145,"Zaranj, the provincial capital of Nimruz Province, has been captured by the Taliban, marking the first major capture of a provincial city by the group since the 2001 invasion. The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

New Zealand has abandoned its elimination strategy to combat COVID-19"
146,"The Taliban has continued its assault on strategic territories in Afghanistan, with the capture of the city of Zaranj in Nimruz Province being the group's most significant territorial win since the 2001 invasion. The move could potentially serve as a warning to other cities in the region to prepare for imminent attack, with a second Northern Alliance possibly being formed following the withdrawal of U.S. troops. New Zealand has announced that it is ending"
147,"As the Taliban's push for control over more of Afghanistan continues, it is increasingly evident that the group's strategy for holding its ground in the Northwest is a strong one. The Taliban have been able to capture Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This success has given the Taliban confidence that it can hold its"
148,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance, and according to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Background -- The Taliban captures Zaranj, the"
149,"The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. The Northern Alliance maintains a stronghold in the north of Afghanistan by leading a resistance to the Taliban's presence. <Background> -- The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance"
150,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

New Zealand drops the elimination strategy to combat"
151,"The Taliban continued its overwhelming success in the north of Afghanistan, taking control of Zaranj, the capital of Nimruz Province, on October 28, their first major capture of a provincial city since the 2001 invasion. The group's stronghold in the north appears to be an attempt to curb the creation of another Northern Alliance after the United States withdraw their troops. 

It was further announced on October 29"
152,"The Taliban captured Zaranj, the provincial capital of Nimruz Province, in November 2021, making it the first major capture of a provincial city by the group since the 2001 invasion. Canadian federal government announced a nationwide COVID-19 vaccine mandate for rail and train passengers and will place unvaccinated core federal employees under unpaid leave as early as November 15 if they had not disclose their"
153,"As an article writer, you have to return the UPDATED CONTENT according to given OLD CONTENT and a TRIGGERED NEWS. The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. At the same time, the earthquake has shaken the area, killing and injuring a number of people. <"
154,"According to the latest figures, the number of active coronavirus infections hit 14,368, over twice the peak of the 2020 ""second wave.” Victoria has also reported a record 1,838 new cases and five deaths, which is the highest daily total of new COVID-19 cases of any Australian state or territory since the beginning of the pandemic. Experts have attributed the spike in numbers to the arrival of"
155,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
156,"The Taliban's latest offensive in northern Afghanistan has continued unabated, with the group now reportedly controlling Zaranj, the provincial capital of Nimruz Province. This success comes as the current withdrawal of U.S. forces from Afghanistan approaches a tipping point, with many observers expecting the Taliban's forces to swiftly mobilize to take control of the largely peaceful northern parts of the country.

Meanwhile"
157,"The suspect has been arrested in connection with the Taliban's capture of Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. According to police, the suspect is an Afghan national who was found in possession of a weapon. A thorough investigation is underway and further details will be released as they become available."
158,"The Taliban has extended its control over the north of Afghanistan, making it the first major capture of a provincial capital since the U.S. invasion in 2001. The man arrested by Norwegian police after yesterday’s attack in Kongsberg, Viken is a 37-year-old Norwegian man of Danish citizenship and a convert to Islam. He was known to authorities with concerns regarding radicalization."
159,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. The man accused of killing"
160,"The Taliban announced that they will be increasing security at Shi'ite mosques after recent IS-KP attacks in Kunduz and Kandahar. 

The Taliban’s announcement comes on the heels of two IS-KP bombings of Shiite mosques this month, killing over 120 people in total. In Kunduz, a suicide bomber detonated a device outside a Shiite mosque"
161,"The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. [Background] -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. [Update] -- Yesterday's killing of MP"
162,"The Taliban has made its first major capture of a provincial capital since the 2001 invasion, taking Zaranj, the provincial capital of Nimruz Province. Their victory is a clear sign that the resistance to the Taliban in northern Afghanistan is growing stronger. 

Negotiations are currently underway between the Taliban and the United States, and the group has announced that it will announce its proposals in six months if they are"
163,"The Taliban's capture of Zaranj, the provincial capital of Nimruz Province, is the first major victory since their 2001 invasion. It is also a sign that resistance to the Taliban is strongest in the north, their main base. However, the Afghanistan Analysts Network suggests that the Taliban may be trying to forestall the creation of a second Northern Alliance after the US withdrawal.

Meanwhile, the"
164,"<Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion.

The Taliban continues to make significant gains around the Afghan capital of Kabul despite the ongoing U.S. withdrawal. Now, they have captured Zaranj, the provincial capital of Nimruz Province. The city was"
165,"The Taliban have now taken complete control of Zaranj, a city in the province of Nimruz in western Afghanistan, after the Afghan security forces withdrew. The capture of the city, which represents the greatest advance by the Taliban in this region, comes after a period of intense fighting in the area. According to Afghanistan Analysts Network, the capture of the city may be an attempt to prevent the Northern Alliance from regaining its strength following the"
166,"The Taliban's capture of Zaranj, the provincial capital of Nimruz Province, has given the rebel group a major boost in strength and momentum. The Taliban has been focusing their attack on areas of the west and north of the country, with Zaranj being the largest provincial city to be captured by the group since the 2001 invasion.

In related news, the Taliban is also facing a new threat that has left"
167,"The Taliban has taken over the provincial capital of Nimruz Province, making it the first major capture of a city since the U.S. invasion in 2001. Zaranj, the provincial capital of Nimruz Province, has been under Taliban control since the 2001 invasion. The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdraw"
168,"The Taliban seized Zaranj, the provincial capital of Nimruz Province, on October 27, making it the first major city captured by the group since the 2001 invasion. This latest advancement comes amidst reports that the Taliban are now concentrated in the northern region of Afghanistan, possibly to prevent the formation of a second Northern Alliance since the withdrawal of U.S. forces.

Furthermore, the Talib"
169,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

However, with the Taliban capturing Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion, the influence of the"
170,"The Taliban recaptured Zaranj, the capital of Nimruz province on August 7th, 2021. Four of the attackers were killed and one was captured by the Taliban during the attack. The Northern Alliance, a group of anti-Taliban militias, launched its first major offensive against the group since the 2001 invasion of Afghanistan. The attackers’ objective was to force the Taliban"
171,"The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Four of the attackers, including the suicide bomber, were killed and a fifth was captured by Taliban forces. It was reported that the Taliban may have been attempting to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces."
172,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

The Taliban captured Zaranj, the"
173,"The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Despite this, and following the 2001 invasion, the Taliban have since captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group. 
Amid increasing tensions across the capital city of Kabul"
174,"The Taliban's recent capture of the provincial capital city of Zaranj in Afghanistan's Nimruz Province is believed to be an attempt to prevent the creation of another Northern Alliance following the impending withdrawal of US forces. 

Meanwhile, in a separate announcement in the Ethiopian capital of Addis Ababa earlier that day, authorities urged citizens to register weapons and prepare to defend their neighbourhoods against potential attacks by extremist groups due"
175,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
176,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. In a separate announcement earlier in the day, authorities in Addis Ababa tell citizens to register arms and prepare to defend their neighbourhoods. The Taliban's capture of Zaranj, the provincial capital of Nimruz Province,"
177,"The Taliban's capture of Zaranj in Nimruz Province has pushed Afghanistan's civil war deeper south than ever before. 

The latest military gains by Taliban forces have stoked tensions among Afghanistan's various groups. While the Taliban's power moves southwards, a second resistance force in the north is forming. 

Meanwhile in Addis Ababa, citizens have been told to register weapons and prepare"
178,"In the ongoing Afghan Civil War, the Taliban's concentration of its forces in the north may indicate an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Recently, the insurgents made their most significant offensive gain yet in Zaranj, the provincial capital of Nimruz Province. Yet, despite this win, the Taliban have experienced setbacks in the south and southwest."
179,"Incumbent New Jersey Governor Phil Murphy has won a second term in office, making him the first Democrat to be re-elected since Brendan Byrne in 1977.

Zaranj, the provincial capital of Nimruz Province, has been captured by the Taliban, making it the first major capture of a provincial city by the group since the 2001 invasion."
180,"<Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. [RM] <Summary> -- Incumbent New Jersey Governor Phil Murphy defeats Republican former state legislator Jack Ciattarelli, making him the first Democrat to be re-elected since Brendan Byrne in 1"
181,"Phil Murphy has been re-elected as governor of New Jersey, marking the first time a Democrat has been re-elected since Brendan Byrne in 1977. Murphy defeated Republican former state legislator Jack Ciattarelli during the November 2021 elections.

The incumbent governor has served since 2018, following his victory over Republican opponent Kim Guadagno. Murphy was the"
182,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

Background -- The Taliban captures Zaranj,"
183,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
184,"The Taliban's offensive in the north of the country continues to gain momentum, with the capture of Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal"
185,"According to reports, 8 people were killed and hundreds more were injured during a stampede and crowd crush at the Astroworld Music Festival in Houston, Texas, United States. The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. 

This is an example of a TRIGGERED NEWS article."
186,"The Afghan Taliban recently captured the northern city of Zaranj, a major victory for the insurgent group since the 2001 invasion. However, the group's sudden victory may be pre-emptive to future Northern Alliance advances, as the Taliban's largest forces are concentrated in the north.

In Houston, Texas, a stampede and crowd crush at the Astroworld Music Festival left eight people dead and hundreds more injured."
187,"The Taliban has been slowly making inroads across Afghanistan, and now, it has taken Zaranj, the provincial capital of Nimruz Province. While the Taliban has made other significant victories in recent months, this is its first major victory in years. It remains to be seen whether this will lead to more Taliban victories in the future, but it is clear that Northern Alliance members are worried about this development.

Meanwhile,"
188,"The Taliban continue to expand its control in northern Afghanistan, while the death toll from the fuel tanker explosion in Freetown, Sierra Leone, has risen to 115. According to the Afghanistan Analysts Network, the Taliban is concentrating its forces in the north in an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces."
189,"Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion -- Israel's pandemic advisory board approves the usage"
190,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. 

<Dist"
191,"The Taliban has made its largest capture of a provincial city since the 2001 invasion of Afghanistan, taking control of Zaranj, the capital of Nimruz Province. Israel's pandemic advisory board has approved the usage of the Pfizer-BioNTech COVID-19 vaccine for children between the ages of 5 to 11 years old."
192,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Additionally, Israel's pandemic advisory board has approved the usage of the Pfizer-BioNTech COVID-19 vaccine for children between the ages of 5 and 11 years old."
193,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance, according to the Afghanistan Analysts Network. The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

The Taliban captured Zaranj, the provincial"
194,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

A police officer confronted the driver, who had just park"
195,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Recently, the Taliban has made some significant gains in"
196,"Tongans went to the polls this week to elect their new government. While the Taliban has made several offensive inroads in the north, the capture of Zaranj, the provincial capital of Nimruz Province, marks the first major city capture since 2001. With the withdrawal of U.S. forces, it appears the Taliban is making a strategic move to strengthen its foothold in the north and prevent the"
197,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

<Background> -- The Taliban captures Zaran"
