,document
80,"The Sunday mass services were cancelled for two weeks as of 14 April. Sri Lankan Buddhist monks started Pirith Chanting a type of prayers to combat against COVID-19 island wide temples on a weekly basis. [ADD] 11 April 2020, Government announce that new school year was postponed until 11 May 2020. Both cricket boards planned to reschedule the fixtures. In December 2020, the England and Wales Cricket Board (ECB) confirmed the dates for the tour, with both Test matches played in Galle. <Impact - Sports> -- President Gotabaya Rajapaksa imposes a ten-day nationwide lockdown in Sri Lanka in an attempt to reduce the spread of COVID-19. 
"
81,"On [ADD] Austin also announced that around 5,000 people have already been evacuated. [ADD] On August 18, U.S. defense secretary Lloyd Austin said that American troops will evacuate as many Americans and allied Afghan interpreters as they can, but also admitted that the Pentagon lacks the capacity to do so. <Operational history> -- United States Army major general William D. Taylor announces that the United States has evacuated 17,000 people, including 2,500 Americans, in the past few weeks. 
"
82,"On On August 20, U.S. President Joe Biden announced that 18,000 people have been evacuated in the past few weeks, with 5,700 in the past 24 hours. Fox News also released a statement saying that 24 people have been evacuated, including three Afghan nationals who assisted the network's coverage of the war. [ADD] On August 22, Austin announced that the U.S. Department of Defense will activate the Civil Reserve Air Fleet for the third time and send 18 aircraft planes that will be used by the U.S. military to help evacuate American citizens. August 17, approximately 1,100 people were evacuated on 13 flights. The White House said more than 3,200 U.S. citizens, permanent residents and refugees were evacuated from the country, and nearly 2,000 Afghan interpreters were flown to the U.S. for SIV processing. On August 18, approximately 2,000 people were evacuated. The State Department said U.S. military flights evacuated nearly 5,000 people from the country. On August 19, more than 2,000 people were evacuated on 12 flights. The Pentagon said it has evacuated about 7,000 people from the country. <Operational history - Kabul airlift> -- United States Army major general William D. Taylor announces that the United States has evacuated 17,000 people, including 2,500 Americans, in the past few weeks. 
"
83,"On [ADD] Austin also announced that around 5,000 people have already been evacuated. [ADD] On August 18, U.S. defense secretary Lloyd Austin said that American troops will evacuate as many Americans and allied Afghan interpreters as they can, but also admitted that the Pentagon lacks the capacity to do so. <Operational history> -- Austin also announces that the U.S. Department of Defense will activate the Civil Reserve Air Fleet for the third time and send 18 planes that will be used by the U.S. military to help evacuate American citizens. 
"
84,"On On August 20, U.S. President Joe Biden announced that 18,000 people have been evacuated in the past few weeks, with 5,700 in the past 24 hours. Fox News also released a statement saying that 24 people have been evacuated, including three Afghan nationals who assisted the network's coverage of the war. [ADD] On August 22, Austin announced that the U.S. Department of Defense will activate the Civil Reserve Air Fleet for the third time and send 18 aircraft planes that will be used by the U.S. military to help evacuate American citizens. August 17, approximately 1,100 people were evacuated on 13 flights. The White House said more than 3,200 U.S. citizens, permanent residents and refugees were evacuated from the country, and nearly 2,000 Afghan interpreters were flown to the U.S. for SIV processing. On August 18, approximately 2,000 people were evacuated. The State Department said U.S. military flights evacuated nearly 5,000 people from the country. On August 19, more than 2,000 people were evacuated on 12 flights. The Pentagon said it has evacuated about 7,000 people from the country. <Operational history - Kabul airlift> -- Austin also announces that the U.S. Department of Defense will activate the Civil Reserve Air Fleet for the third time and send 18 planes that will be used by the U.S. military to help evacuate American citizens. 
"
85,"On [ADD] Austin also announced that around 5,000 people have already been evacuated. [ADD] On August 18, U.S. defense secretary Lloyd Austin said that American troops will evacuate as many Americans and allied Afghan interpreters as they can, but also admitted that the Pentagon lacks the capacity to do so. <Operational history> -- Fox News CEO Suzanne Scott announces that the network has evacuated 24 people from Afghanistan, including three Afghan nationals who assisted with the network's coverage of the war. 
"
86,"On On August 20, U.S. President Joe Biden announced that 18,000 people have been evacuated in the past few weeks, with 5,700 in the past 24 hours. Fox News also released a statement saying that 24 people have been evacuated, including three Afghan nationals who assisted the network's coverage of the war. [ADD] On August 22, Austin announced that the U.S. Department of Defense will activate the Civil Reserve Air Fleet for the third time and send 18 aircraft planes that will be used by the U.S. military to help evacuate American citizens. August 17, approximately 1,100 people were evacuated on 13 flights. The White House said more than 3,200 U.S. citizens, permanent residents and refugees were evacuated from the country, and nearly 2,000 Afghan interpreters were flown to the U.S. for SIV processing. On August 18, approximately 2,000 people were evacuated. The State Department said U.S. military flights evacuated nearly 5,000 people from the country. On August 19, more than 2,000 people were evacuated on 12 flights. The Pentagon said it has evacuated about 7,000 people from the country. <Operational history - Kabul airlift> -- Fox News CEO Suzanne Scott announces that the network has evacuated 24 people from Afghanistan, including three Afghan nationals who assisted with the network's coverage of the war. 
"
87,"On [ADD] August 22, President Joe Biden said that American troops may remain in Afghanistan past the August 31 deadline. [ADD] He also announced that 11,000 people have been evacuated in the past 36 hours. On August 16, a C-17 cargo plane, which usually includes less than 150 paratroopers, safely evacuated roughly 823 people to the Al Udeid Air Base in Qatar. <Operational history - Kabul airlift> -- U.S. President Joe Biden says that American troops may remain in Afghanistan beyond the August 31 deadline. He also announces that 11,000 people were evacuated from the country in the past 36 hours. 
"
88,"As of 17 August, the Panjshir Valley was—according to one observer—""under siege on all sides"" but had not come under direct attack. On 18 August, the number of admissions for war injuries was increasing at the Emergency Surgical Centre for War Victims in Anabah in Panjshir. By 22 August, Ahmad Massoud's forces were mostly focused on defending Panjshir as well as training. [ADD] <Timeline - Panjshir Province> -- Ahmad Massoud, who is leading the Panjshir resistance along with self-proclaimed acting president Amrullah Saleh, refuses to surrender the Panjshir Valley to the Taliban and says that war is ""unavoidable"" if the Taliban refuse dialogue on the formation of a comprehensive government. 
"
89,"On 22 August In response, the IEA announced ""hundreds"" of its forces had been dispatched to the Panjshir Valley. [ADD] , the Islamic Emirate gave the opposition forces a four hour ultimatum to surrender. [ADD] In a statement to Al Arabiya, Massoud rejected the ultimatum. The three districts had reportedly experienced a revolt, led by a local police chief, after Taliban had conducted unpopular house-to-house searches. Bismillah Khan Mohammadi announced the operational success of the districts being recaptured via Twitter. <Timeline - Baghlan Province> -- Ahmad Massoud, who is leading the Panjshir resistance along with self-proclaimed acting president Amrullah Saleh, refuses to surrender the Panjshir Valley to the Taliban and says that war is ""unavoidable"" if the Taliban refuse dialogue on the formation of a comprehensive government. 
"
90,"nan -- Ahmad Massoud, who is leading the Panjshir resistance along with self-proclaimed acting president Amrullah Saleh, refuses to surrender the Panjshir Valley to the Taliban and says that war is ""unavoidable"" if the Taliban refuse dialogue on the formation of a comprehensive government. 
"
91,"The attack was suspected to have been carried out by the Islamic State of Iraq and the Levant – Khorasan Province (ISIS-K) amid the 2021 evacuation of Afghanistan. A crowd of local and foreign civilians had fled to the airport to evacuate. At Abbey Gate, one of the gates entering into the airport, a suicide bomber detonated an explosive. At least 13 people were killed during the attack. The toll was confirmed by both Taliban officials and foreign troops. At least 60 people were injured, including a number of Taliban members and foreign soldiers. [RM] Up to five U.S. personnel were injured, including three U.S. Marines. [ADD] Four US Marines were among those killed, and up to five U.S. personnel were injured, including three U.S. Marines. <Attack> -- A suicide bomber blows himself up at an entrance of the Hamid Karzai International Airport in Kabul, killing at least 90 Afghan civilians and 13 American servicemembers. More than 150 others are wounded. ISIL-KP, who have threatened the airport in recent days, have claimed responsibility for the attack. 
"
92,"On June 7, 2021, Musico called for his case to be dismissed, arguing entrapment by federal authorities and the confidential informant and claiming he would not have associated himself with Fox without police interference. He also claimed the informant led the training sessions for the Wolverine Watchmen; an FBI agent said in March that he instructed the informant to take on a leadership role during those sessions to prevent suspects from getting injured and thus requiring a law enforcement response while the Wolverine Watchmen were armed. Similar motions calling the case's dismissal on the grounds of entrapment are also expected from Morrison and Bellar. [ADD] <Legal proceedings - State> -- Ty Garbin is sentenced to six years in prison and fined $2,500 for his role in the kidnapping plot of Michigan Governor Gretchen Whitmer last year. He is the first person to be sentenced in the conspiracy, which includes thirteen other accused plotters who are currently awaiting trial. 
"
93,"On [ADD] August 26, 2021 Ty Garbin, one of the individuals accused of being involved in the plot was sentenced to six years in prison and fined $2,500. Whitmer later urged in a tweet that the suspects be called domestic terrorists and not members of any militia organization. In an October 11 interview with Face the Nation, she said security threats against her still existed and that extremists like the Wolverine Watchmen are ""finding comfort and support in the rhetoric coming out of Republican leadership from the White House to our state House."" Whitmer wrote about the plot in an opinion piece in The Atlantic on October 27, where she continued to blame Trump's rhetoric for causing divisiveness in the country. <Reactions - Whitmer's response> -- Ty Garbin is sentenced to six years in prison and fined $2,500 for his role in the kidnapping plot of Michigan Governor Gretchen Whitmer last year. He is the first person to be sentenced in the conspiracy, which includes thirteen other accused plotters who are currently awaiting trial. 
"
94,"27 August 2021: The United States launched an airstrike against an ISIL-KP member in Nangarhar Province. [RM] According to two defense officials, the strike was carried out by an MQ-9 Reaper drone with guided munitions to minimize civilian casualties, and the target was riding in a vehicle with one associate. [RM] CENTCOM said it believes the man planned the 2021 Kabul airport attack, which are attacks against the United States in Kabul, and does not believe any civilians were killed with him. [ADD] Two ""high-profiled"" ISIS targets were killed and a third person was injured. -- The United States launches an airstrike in Nangarhar, killing two Islamic State members and wounding a third. It is reported that one of those killed was planning more attacks in Kabul. 
"
95,"On [RM] According to two defense officials, the strike was carried out by an MQ-9 Reaper drone with guided munitions to minimize civilian casualties, and the target was riding in a vehicle with one associate. [RM] CENTCOM said it believes the man planned attacks against the United States in Kabul and does not believe any civilians were killed with him. -- The United States launches an airstrike in Nangarhar, killing two Islamic State members and wounding a third. It is reported that one of those killed was planning more attacks in Kabul. 
"
96,"On 25 August there were 3 deaths reported of COVID cases who died on different days from 17–21 August. All were in western Sydney and died in their homes. At least 8 COVID cases have died in their homes since 16 June. [RM] None of these 3 were vaccinated, they were: <Statistics> -- New South Wales reports a record 1,035 new cases of COVID-19 in the past 24 hours. 
"
97,"a man in his 30s, a man in his 60s, and a man in his 80s <Statistics> [ADD] None of these 3 were vaccinated, they were: <Timeline - 26 August - Regional lockdown extended> -- New South Wales reports a record 1,035 new cases of COVID-19 in the past 24 hours. 
"
98,"As a consequence of social distancing requirements, lockdowns, travel restrictions, and state or national border closures implemented when the COVID-19 pandemic occurred, numerous events in 2020 and 2021 were cancelled, rescheduled, postponed, reduced in size, or changed location. [ADD] <Event cancellations> -- New South Wales reports a record 1,035 new cases of COVID-19 in the past 24 hours. 
"
99,"By 28 August, to 8pm on 27 August, there was another record high of 1,035 new locally acquired cases of COVID-19, bringing the total reported since 16 June to 15,684. There were 778 COVID-19 cases in hospital, 125 in intensive care, 52 requiring ventilation. [ADD] 1 new case was overseas acquired. [ADD] 316 of the new cases were from South Western Sydney LHD, 52 South Eastern Sydney LHD, 398 Western Sydney LHD, 100 Sydney LHD, 25 Northern Sydney LHD, 78 Nepean Blue Mountains LHD, 3 Hunter New England LHD, 42 Western NSW LHD, 4 Far West LHD, 7 Illawarra-Shoalhaven LHD, and 2 Central Coast LHD. 8 not assigned to any LHD. -- New South Wales reports a record 1,035 new cases of COVID-19 in the past 24 hours. 
"
100,"nan -- The Philippines reports a record 19,441 new cases of COVID-19 in the past 24 hours, thereby bringing the nationwide total of confirmed cases to 1,935,700. 
"
101,"27 August 2021: The United States launched an airstrike targeting an IS-K member in Nangarhar Province. The target was riding in a vehicle. He was killed alongside another high-profiled member, while a third militant was injured. The two killed were described as a planner and a facilitator. The airstrike was carried out a day after the 2021 Kabul airport attack, which resulted in the death of more than 180 people. [RM] All the occupants of the vehicle were killed, including six children. -- A U.S. airstrike targets a vehicle driven by an aid worker for U.S. based Nutrition and Education International, who was bringing home water for his family. At least 10 people are killed during the strike, including seven children. Some of those killed had previously worked for international organisations and held visas allowing them entry to the United States. There are reports of other civilians being killed too. The majority of the casualties were residents of the area. , 
"
102,"On July 4, 2021, The Saudi-led coalition said it foiled a hostile attack with two booby-trapped boats in south of the Red Sea. On the same day, the coalition reported the interception of an explosives-laden drone which was fired by the Houthis towards the city of Khamis Mushait. [ADD] <Timeline - 2021> -- A drone attack against the Abha International Airport in Abha, Saudi Arabia, injures eight people. 
"
103,"On 30 August, 2021, Houthis forces launched a drone attack on Abha International Airport in Saudi Arabia. [ADD] According to Saudi authorities the attack left 8 civilians wounded and one civilian aircraft damaged. -- A drone attack against the Abha International Airport in Abha, Saudi Arabia, injures eight people. 
"
104,"On 2 September 2021, Panjshir sources claim that 13 Taliban fighters were killed in an ambush in Chikrinow district. [ADD] By 2 September, Taliban spokesman said the valley was surrounded by all four directions and that Taliban forces were seizing locations. On 18 August, Mohammad Zahir Aghbar, the Islamic Republic of Afghanistan's ambassador to Tajikistan, indicated the possibility of including the Taliban in a coalition government as a means of ending the stalemate. <Negotiations> -- The Taliban enters the Panjshir Valley and clashes with National Resistance Front of Afghanistan forces led by Ahmad Massoud. The Taliban reports gaining some territory as both sides also claim heavy casualties. 
"
105,"On 27 August, the U.S. announced that that it is opening military bases to hold up to 5,000 Afghan nationals who are applying for Special Immigration Visa (SIV) or are deemed to be ""at risk"". U.S. is opening up Marine Corps Base Quantico, Fort Pickett, Fort Lee, Fort McCoy, Fort Bliss, Joint Base McGuire-Dix, and Holloman Air Force Base to provide housing and support for the Afghans. [ADD] <Operational history - Kabul airlift> -- White House Chief of Staff Ron Klain says that around 100 Americans remain in Afghanistan following the August 31 withdrawal deadline. He also says that the Biden administration will still try to rescue them. 
"
106,"On [ADD] 5 September, White House Chief of Staff Ron Klain said that around 100 Americans remain in Afghanistan days following the August 31 withdrawal deadline. [ADD] Klain said that the Biden administration will look for ways to rescue them. Remains of another dead Afghan were found in the landing gear of the American C-17, after the pilots were forced to make an emergency landing in a nearby country because they were unable to retract the landing gear. Eleven more civilians died during stampedes at the airport, seven of whom died in a single incident on August 21. At times, the Taliban has fired crowd control shots at the Kabul airport, with some people reported shot and injured from gunfire. Three more people died during gun incidents, including two armed men who fired into a crowd and were killed by U.S. troops, while the other was an Afghan guard killed during a gunfight between Afghan forces and unknown gunmen. <Casualties> -- White House Chief of Staff Ron Klain says that around 100 Americans remain in Afghanistan following the August 31 withdrawal deadline. He also says that the Biden administration will still try to rescue them. 
"
107,"According to an India Today report, the former Samangan MP Zia Arianjad said on 6 September that defending resistance forces had been bombed by drones of the Pakistan Air Force using smart bombs. [ADD] As per reports, Pakistan's special forces have also assisted the Taliban in attacking the resistance. -- Anti-Taliban forces in Panjshir claim to have been bombed by Pakistan Air Force drones, accusing Pakistan of directly supporting the Taliban offensive. 
"
108,"nan -- The Philippines reports a record 22,415 new cases of COVID-19 in the past 24 hours, thereby bringing the nationwide total of confirmed cases to 2,103,331. 
"
109,"The earthquake was a thrust faulting event located on or near the subduction zone boundary of the Caribbean Plate and Cocos Plate. Earthquakes of this size according to the U.S. Geological Survey are 40x20 km in rupture size. The earthquake occurred at the southern extent of the Guerrero Gap; a seismic gap capable generating a magnitude 8.0 earthquake. [ADD] The earthquake was first measured at a magnitude of 7.4 by the USGS, however it was later downgraded to 7.0. [ADD] The earthquake was relatively shallow, only 12 miles (20 kilometers) below the surface, which would have amplified the shaking effect. <Damage> -- A 7.0 magnitude earthquake struck just outside the tourist city of Acapulco, Guerrero, Mexico, killing at least one person and leaving more than 1.6 million without electricity.  
"
110,"Judge Rogers issued her first ruling on September 10, 2021. [RM] While Rogers found in favor of Apple on nine of ten counts brought up against them in the case, she issued a permanent injunction that, in 90 days from the ruling, prevented Apple from preventing developers from linking app users to other storefronts from within apps. Under this market, Epic had failed to show that Apple violated federal or state anti-trust laws, but did violate California's competition laws through the anti-competitive behavior of disallowing any mention of other payment systems within apps. In her decision, Rogers identified that the market of concern was neither games nor Apple's App Store but ""digital mobile gaming transactions"". [SUB] Rogers found in favor of Apple on nine of ten counts brought up against them in the case, including Epic's charges related to Apple's 30% revenue cut and Apple's prohibition against third-party marketplaces on the iOS environment. Rogers did rule against Apple on the final charge related to anti-steering provisions, and issued a permanent injunction that, in 90 days from the ruling, prevented Apple from preventing developers from linking app users to other storefronts from within apps to complete purchases. <Decision> -- United States District Judge Yvonne Gonzalez Rogers rules that Apple Inc. cannot stop mobile app developers from directing users to third-party payment options, issuing a permanent injunction against the company. 
"
111,"Sweeney stated that the decision ""isn\'t a win for developers or for consumers"", that Epic would not be bringing Fortnite back to iOS until ""when and where Epic can offer in-app payment in fair competition with Apple in-app payment, passing along the savings to consumers"", and that they would continue to litigate on this matter. [ADD] Under this market, Judge Rogers concluded that Apple was not a monopoly, and while Apple ""enjoys considerable market share of over 55% and extraordinary high profit margins"", that type of success was not an illegal monopoly. Digital Content Next, a non-profit trade group representing media outlets like The New York Times and The Wall Street Journal, also backed Epic's suit, asserting among other issues that Apple has given out uniquely favorable deals to some providers like Amazon but not to others. [ADD] <Decision> -- United States District Judge Yvonne Gonzalez Rogers rules that Apple Inc. cannot stop mobile app developers from directing users to third-party payment options, issuing a permanent injunction against the company. 
"
112,"Judge Rogers also ruled against Epic, requiring them to pay Apple $3.6 million in revenue that was withheld to Apple related to their attempts to bypass the App Store, and further stated that Epic did violate its contractual terms as a developer with Apple in how they deployed the update to Fortnite in August 2020 that instigated events such that Apple may block Epic from providing apps to the App Store. the initial ban, some users attempted to auction iPhones with Fortnite still installed with prices as high as tens of thousands of dollars. [ADD] A representative for Apple stated that ""Today the Court has affirmed what we’ve known all along: the App Store is not in violation of antitrust law."" In September 2020, Epic Games, together with thirteen other companies launched the Coalition for App Fairness, which aims for better conditions for the inclusion of apps in the app stores. <Reactions> -- United States District Judge Yvonne Gonzalez Rogers rules that Apple Inc. cannot stop mobile app developers from directing users to third-party payment options, issuing a permanent injunction against the company. 
"
113,"nan -- United States District Judge Yvonne Gonzalez Rogers rules that Apple Inc. cannot stop mobile app developers from directing users to third-party payment options, issuing a permanent injunction against the company. 
"
114,"On 5 September, White House Chief of Staff Ron Klain said that around 100 Americans remain in Afghanistan. Klain said that the Biden administration will look for ways to rescue them. [ADD] <Operational history - Kabul airlift> -- U.S. Secretary of State Antony Blinken announces that 21 Americans have been evacuated from Afghanistan. 
"
115,"On [ADD] 10 September, U.S. Secretary of State Antony Blinken announced in a statement that 21 Americans and 11 legal citizens have evacuated from the country. <Casualties> -- U.S. Secretary of State Antony Blinken announces that 21 Americans have been evacuated from Afghanistan. 
"
116,"nan -- U.S. Secretary of State Antony Blinken announces that 21 Americans have been evacuated from Afghanistan. 
"
117,"Also in 2015, bishop Kevin Kanouse, a bishop in the ELCA, came out as gay. [ADD] <Modern day - Lutheranism> -- The Sierra Pacific Synod of the Evangelical Lutheran Church in America (ELCA) installs the Rev. Dr. Megan Rohrer as Bishop. They are the first openly transgender and non-binary Bishop in any major Christian denomination.  
"
118,"On [ADD] May 8, 2021, Sierra Pacific Synod of the Evangelical Lutheran Church in America (ELCA) elected the Reverend Doctor Megan Rohrer the first openly transgender bishop, the first in any major Christian denomination. [ADD] They were installed September 11, 2021. At the United Methodist Church's General Conference, the delegates voted in favour of a motion to defer the issue of human sexuality to the Council of Bishops to reexamine the Book of Discipline. On 7 May 2018 the Council of Bishops in the United Methodist Church proposed allowing individual pastors and regional church bodies to decide whether to ordain LGBT clergy and perform same-sex weddings, though this proposal can only be approved by the General Conference. <Modern day - United Methodist Church> -- The Sierra Pacific Synod of the Evangelical Lutheran Church in America (ELCA) installs the Rev. Dr. Megan Rohrer as Bishop. They are the first openly transgender and non-binary Bishop in any major Christian denomination.  
"
119,"Also on 11 September, Tasnim News Agency reporters were allowed into Panjshir. They met with a group of Red Unit Taliban fighters who claimed that all of Panjshir was captured and resistance forces may have taken shelter in nearby mountainous areas. They also claimed that the situation was calm despite the expiration of the reported ceasefire. Many civilians were seen fleeing the area fearing of renewed clashes. Reporters also interviewed a NRF supporter who blamed the Taliban for not establishing an inclusive government. He also claimed that the Pakistan Air Force had helped the Taliban. [ADD] <Timeline - Taliban offensive and revolts in central Afghanistan> -- The BBC documents and reports that the Taliban deliberately targeted civilians in Panjshir Province despite promises to avoid retaliatory attacks on local civilians. One of the documented cases was that of a shopkeeper as the news agency says that up to 20 civilians were killed by Taliban fighters during their advance on the last anti-Taliban stronghold. 
"
120,"29 August: Ahmadi had loaded bottles of water into his trunk for his family and for his neighbors, which a New York Times investigation suggested had been mistakenly identified by the U.S. military as explosives, prompting the fatal airstrike. Water deliveries had stopped in his neighborhood following the collapse of the government. [RM] US officials claimed the vehicle had visited an alleged ISIS safe house and that secondary explosions had occurred after the airstrike, but no evidence of a secondary explosion was found at the site, and the location that the drone had tracked Ahmadi to, where he and three others had loaded bottles of water into his trunk, was the office of Nutrition and Education International, and not an ISIS-K safe house as the U.S. had alleged. [ADD] US officials initially claimed the vehicle had visited an alleged ISIS safe house and that secondary explosions had occurred after the airstrike, but no evidence of a secondary explosion was found at the site, and the location that the drone had tracked Ahmadi to, where he and three others had loaded bottles of water into his trunk, was the office of Nutrition and Education International, and not an ISIS-K safe house as the U.S. had alleged. Ten family members were killed in the airstrike at their home, including seven children and Ahmadi. Some of those killed had previously worked for international NGOs and held visas allowing them entry to the United States. [RM] <Timeline - 2021> -- Marine Corps General Kenneth F. McKenzie Jr. acknowledges that a drone strike conducted by the U.S. military on August 29 near Kabul International Airport killed 10 civilians instead of ISIL-K militants. 
"
121,"The United States government has faced great criticism owing to the number of civilian casualties and many killed being unintended targets. [ADD] The Pentagon later acknowledged that Ahmadi and vehicle he was driving posed no threat and that there was no connection between Ahmadi and ISIS-K. <Timeline - 2021> Amnesty International USA has also questioned the legality of drone attacks. <Criticism> -- Marine Corps General Kenneth F. McKenzie Jr. acknowledges that a drone strike conducted by the U.S. military on August 29 near Kabul International Airport killed 10 civilians instead of ISIL-K militants. 
"
122,"At the same time, a ballot initiative was launched that aims at the decriminalization of the cultivation of marijuana, as well as the repeal of penalties for cannabis possession, by amending the relevant laws through a referendum. In particular, the objective of the campaign is to amend several articles of the Presidential Decree DPR 309/90 of 1990, regarding the discipline of narcotics and psychotropic substances, prevention, treatment, and rehabilitation of the related stages of substance dependence, which is reportedly responsible for 35% of the current prison population in Italy. The initiative is supported by several pro-legalization organizations, including ARCI and the Luca Coscioni Association, as well as several political parties, including Italian Radicals, +Europa, Possible, Power to the People, Communist Refoundation, and Italian Left. [RM] In its first week of operation, the campaign collected 400 thousand signatures in less than four days, while needing a total of 500 thousand verified electronic signatures by the end of September, as well as a ballot question that is in line with the Constitution, in order to proceed with the referendum, which would be held in spring 2022. <Legalization efforts - Personal use> -- Activists in Italy say that they have gathered enough signatures in order to trigger a referendum on liberalising the use of cannabis. 
"
123,"Cannabis inflorescences are classified as narcotics and their pharmaceutical use is strictly regulated in accordance with the aforementioned UN Conventions of 1961 and 1971, EU regulations, as well as national legislation, including the aforementioned DPR 309/90 of 1990. [ADD] In its first week of operation, the campaign collected 400 thousand signatures in less than four days and reached the required 500 thousand signatures well before the deadline set at the end of September, which will allow the referendum to take place as early as spring 2022. [ADD] The speed at which the signatures were collected was made possible by a law approved in July 2021 that allows for signatures to be collected online, while previously only in-person signing was allowed, and the campaigner intend to keep collecting signatures up until the deadline, in order to make sure that the referendum proposal is not rejected due to some of them being ruled invalid. [ADD] In particular, the collected signatures must be verified by the Supreme Court of Cassation, while the Constitutional Court must verify that the ballot question is in line with the Constitution, after which the President will set a date for the referendum. <Law enforcement> -- Activists in Italy say that they have gathered enough signatures in order to trigger a referendum on liberalising the use of cannabis. 
"
124,"nan -- Activists in Italy say that they have gathered enough signatures in order to trigger a referendum on liberalising the use of cannabis. 
"
125,"nan -- Mayor of Manila Isko Moreno announces his candidacy for the President of the Philippines in the upcoming 2022 elections. 
"
126,"On 22 September in Melbourne city there was another protest with up to 1,000 people converging on the Shrine of Remembrance. After a stand-off for a few hours with police surrounding them, protesters dispersed at about 5pm. Two police officers were injured by thrown bottles and more than 200 people were arrested. An estimated 300 fines were issued for not complying with stay-at-home directives. The lockdown of Ballarat ended at midnight this day. [ADD] With 766 new daily cases, another record high was set. [ADD] <Timeline - Protests> [ADD] Of these 257 there were: <Timeline - Protests> -- Victoria reports a record 766 new cases and four deaths from COVID-19 in the past 24 hours. 
"
127,"Also notably by 23 September, at 235 days, Melbourne set a record for the worlds\' longest lockdown. [ADD] As of this date, the city is expected to be locked down until ""late October"". <Event cancellations> -- Victoria reports a record 766 new cases and four deaths from COVID-19 in the past 24 hours. 
"
128,"nan -- Singapore reports a record 1,504 new cases of COVID-19 in the past 24 hours, bringing the nationwide total of confirmed cases to 82,856. 
"
129,"The COVID-19 pandemic in the United States is part of the worldwide pandemic of coronavirus disease 2019 (COVID-19). 80,140,309 confirmed cases have been reported since January 2020, with 982,371 deaths, the most of any country, and the twenty-second-highest per capita worldwide. As many infections have gone undetected, the Centers for Disease Control and Prevention (CDC) estimated that, as of May 2021, there could be a total 120.2 million infections in the United States, or more than a third of the total population. COVID-19 was the third-leading cause of death in the U.S. in 2020, behind heart disease and cancer. U.S. life expectancy dropped by 3 years for Hispanic Americans, 2.9 years for African Americans, and 1.2 years for white Americans from 2019 to 2020. [RM] <Summary> -- The United States surpasses 700,000 deaths from COVID-19. 
"
130,"In late November 2019, COVID-19 infections had first broken out in Wuhan, China. China publicly reported the cluster on December 31, 2019. After China confirmed that the cluster of infections was caused by a novel infectious coronavirus on January 7, 2020, the CDC issued an official health advisory the following day. On January 20, the World Health Organization (WHO) and China both confirmed that human-to-human transmission had occurred. The CDC immediately activated its Emergency Operations Center (EOC) to respond to the outbreak in China. Also, the first report of a COVID-19 case in the U.S. was publicly reported, though the All of Us study (released in 2021) showed five states already had cases weeks earlier. After other cases were reported, on January 30, the WHO declared a Public Health Emergency of International Concern (PHEIC) – its highest level of alarm – warning that ""all countries should be prepared for containment."" The same day, the CDC confirmed the first person-to-person case in the US. The next day, the country declared a public health emergency. Although by that date there were only seven known cases in the US, the HHS and CDC reported that there was a likelihood of further cases appearing in the country. [RM] <Timeline> [ADD] <Summary> On February 2, the U.S. enacted travel restrictions to and from China. On February 6, the earliest confirmed American death with COVID-19 (that of a 57-year-old woman) occurred in Santa Clara County, California. The CDC did not report its confirmation until April 21, by which point nine other COVID-19 deaths had occurred in Santa Clara County. The virus had been circulating undetected at least since early January and possibly as early as November. On February 25, the CDC warned the American public for the first time to prepare for a local outbreak. The next day, New York City saw the sickening of its ""patient zero"", Manhattan attorney Lawrence Garbuz, then thought to be the first community-acquired case. In February, Vice President Mike Pence took over for Secretary Alex Azar as chair of the White House Coronavirus Task Force. The CDC had already warned that large numbers of people needing hospital care could overload the healthcare system, which would lead to otherwise preventable deaths. Dr. Anthony Fauci said the mortality from COVID-19 was ten times higher than the common flu. By March 12, diagnosed cases of COVID-19 in the U.S. exceeded a thousand. On March 16, the White House advised against any gatherings of more than ten people. Three days later, the United States Department of State advised U.S. citizens to avoid all international travel. <Timeline - December 2019 to April 2020> -- The United States surpasses 700,000 deaths from COVID-19. 
"
131,"On July 6, the United States Department of State announced the country's withdrawal from WHO effective July 6, 2021. On July 10, the CDC adopted the Infection Fatality Ratio (IFR), ""the number of individuals who die of the disease among all infected individuals (symptomatic and asymptomatic)"", as a new metric for disease severity. In July, US PIRG and 150 health professionals sent a letter asking the federal government to ""shut it down now, and start over"". In July and early August, requests multiplied, with a number of experts asking for lockdowns of ""six to eight weeks"" that they believed would restore the country by October 1, in time to reopen schools and have an in-person election. [RM] <Timeline - May to August 2020> -- The United States surpasses 700,000 deaths from COVID-19. 
"
132,"In August, over 400,000 people attended the 80th Sturgis Motorcycle Rally in Sturgis, South Dakota, and from there, at least 300 people in more than 20 states were infected. The CDC followed up with a report on the associated 51 confirmed primary event-associated cases, 21 secondary cases, and five tertiary cases in the neighboring state of Minnesota, where one attendee died of COVID-19. [ADD] In July and early August, requests multiplied, with a number of experts asking for lockdowns of ""six to eight weeks"" that they believed would restore the country by October 1, in time to reopen schools and have an in-person election. <Timeline - December 2019 to April 2020> -- The United States surpasses 700,000 deaths from COVID-19. 
"
