,paragraph
91,"[{'summary_text': 'The attack was suspected to have been carried out by the Islamic State of Iraq and the Levant – Khorasan Province (ISIS-K) amid the 2021 evacuation of Afghanistan. A crowd of local and foreign civilians had fled to the airport to evacuate. At Abbey Gate, one of the gates entering into the airport, a suicide bomber detonated an explosive. At least 13 people were killed during the attack. The toll was confirmed by both Taliban officials and foreign troops. The attack was also reported to have left at least 60 people injured, including a number of Taliban members and foreign soldiers.'}]"
92,"[{'summary_text': 'On June 7, 2021, Musico called for his case to be dismissed, arguing entrapment by federal authorities and the confidential informant and claiming he would not have associated himself with Fox without police interference. He also claimed the informant led the training sessions for the Wolverine Watchmen; an FBI agent said in March that he instructed the informant to take on a leadership role during those sessions to prevent suspects from getting injured and thus requiring a law enforcement response while the Wolverine'}]"
93,"[{'summary_text': 'On August 26, 2021 Ty Garbin, one of the individuals accused of being involved in the plot was sentenced to six years in prison and fined $2,500. Whitmer later urged in a tweet that the suspects be called domestic terrorists and not members of any militia organization. In an October 11 interview with Face the Nation, she said security threats against her still existed and that extremists like the Wolverine Watchmen are ""finding comfort and support in the rhetoric coming out of Republican leadership from the White House to our state House."" Whitmer wrote about the plot in an opinion piece'}]"
94,"[{'summary_text': '27 August 2021: The United States launched an airstrike against an ISIL-KP member in Nangarhar Province. According to two defense officials, the strike was carried out by an MQ-9 Reaper drone with guided munitions to minimize civilian casualties, and the target was riding in a vehicle with one associate. CENTCOM said it believes the man planned the 2021 Kabul airport attack, which are attacks against the United States in Kabul, and does not believe any civilians were killed with him.'}]"
95,"[{'summary_text': 'According to two defense officials, the strike was carried out by an MQ-9 Reaper drone with guided munitions to minimize civilian casualties, and the target was riding in a vehicle with one associate. CENTCOM said it believes the man planned attacks against the United States in Kabul and does not believe any civilians were killed with him.'}]"
96,"[{'summary_text': 'On 25 August there were 3 deaths reported of COVID cases who died on different days from 17–21 August. All were in western Sydney and died in their homes. At least 8 cases have been reported since 16 June. None of these 3 were vaccinated, they were: <Statistics> -- New South Wales reports a record 1,035 new cases ofCOVID-19 in the past 24 hours.'}]"
97,"[{'summary_text': 'New South Wales reports a record 1,035 new cases of COVID-19 in the past 24 hours.    Three people in their 30s, 60s and 80s were the first to die.  None of these 3 were vaccinated, they were: a man in his 30s and two men in their 60s.'}]"
98,"[{'summary_text': 'As a consequence of social distancing requirements, lockdowns, travel restrictions, and state or national border closures implemented when the COVID-19 pandemic occurred, numerous events in 2020 and 2021 were cancelled, rescheduled, postponed, reduced in size, or changed location. New South Wales reports a record 1,035 new cases of CO VID-19 in the past 24 hours.'}]"
99,"[{'summary_text': 'By 28 August, to 8pm on 27 August, there was another record high of 1,035 new locally acquired cases of COVID-19, bringing the total reported since 16 June to 15,684. There were 778 CO VID-19 cases in hospital, 125 in intensive care, 52 requiring ventilation. 1 new case was overseas acquired. 316 of the new cases were from South Western Sydney LHD, 52 South Eastern Sydney L HD, 398 Western Sydney'}]"
100,"[{'summary_text': 'The Philippines reports a record 19,441 new cases of COVID-19 in the past 24 hours, thereby bringing the nationwide total of confirmed cases to 1,935,700.  The total number of confirmed COVID cases in the Philippines now stands at 1.7 million.'}]"
101,"[{'summary_text': '27 August 2021: The United States launched an airstrike targeting an IS-K member in Nangarhar Province. The target was riding in a vehicle. He was killed alongside another high-profiled member, while a third militant was injured. The two killed were described as a planner and a facilitator. The airstrike was carried out a day after the 2021 Kabul airport attack, which resulted in the death of more than 180 people.'}]"
102,"[{'summary_text': 'On July 4, 2021, The Saudi-led coalition said it foiled a hostile attack with two booby-trapped boats in south of the Red Sea. On the same day, the coalition reported the interception of an explosives-laden drone which was fired by the Houthis towards the city of Khamis Mushait. [ADD] <Timeline - 2021> -- A drone attack against the Abha International Airport in Abha, Saudi Arabia, injures eight people.'}]"
103,"[{'summary_text': 'On 30 August, 2021, Houthis forces launched a drone attack on Abha International Airport in Saudi Arabia. According to Saudi authorities the attack left 8 civilians wounded and one civilian aircraft damaged.  The attack was carried out by a drone that was armed with a machine gun.'}]"
104,"[{'summary_text': ""On 2 September 2021, Panjshir sources claim that 13 Taliban fighters were killed in an ambush in Chikrinow district. By 2 September, Taliban spokesman said the valley was surrounded by all four directions and that Taliban forces were seizing locations. On 18 August, Mohammad Zahir Aghbar, the Islamic Republic of Afghanistan's ambassador to Tajikistan, indicated the possibility of including the Taliban in a coalition government as a means of ending the stalemate.""}]"
105,"[{'summary_text': 'On 27 August, the U.S. announced that that that it is opening military bases to hold up to 5,000 Afghan nationals who are applying for Special Immigration Visa (SIV) or are deemed to be ""at risk"". U. S. is opening up Marine Corps Base Quantico, Fort Pickett, Fort Lee, Fort McCoy, Fort Bliss, Joint Base McGuire-'}]"
106,"[{'summary_text': 'On 5 September, White House Chief of Staff Ron Klain said that around 100 Americans remain in Afghanistan days following the August 31 withdrawal deadline. Klain says that the Biden administration will look for ways to rescue them. Remains of another dead Afghan were found in the landing gear of the American C-17, after the pilots were forced to make an emergency landing in a nearby country because they were unable to retract the landed gear. Eleven more civilians died during stampedes at the airport, seven of whom died in a single incident on August 21.'}]"
107,"[{'summary_text': 'According to reports, Pakistan\'s special forces have also assisted the Taliban in attacking the resistance. Anti-Taliban forces in Panjshir claim to have been bombed by Pakistan Air Force drones, accusing Pakistan of directly supporting the Taliban offensive. According to an India Today report, former Samangan MP Zia Arianjad said on 6 September that defending resistance forces had been ""bombs""'}]"
108,"[{'summary_text': 'The Philippines reports a record 22,415 new cases of COVID-19 in the past 24 hours, thereby bringing the nationwide total of confirmed cases to 2,103,331.  The total number of confirmed COVID cases in the Philippines now stands at more than 2,100,000.'}]"
109,"[{'summary_text': 'The earthquake was a thrust faulting event located on or near the subduction zone boundary of the Caribbean Plate and Cocos Plate. Earthquakes of this size according to the U.S. Geological Survey are 40x20 km in rupture size. The earthquake occurred at the southern extent of the Guerrero Gap; a seismic gap capable generating a magnitude 8.0 earthquake. [ADD] The earthquake was first measured at a magnitude of 7.4 by the USGS, however it was later downgraded to 7.0.'}]"
110,"[{'summary_text': ""Judge Rogers issued her first ruling on September 10, 2021. Rogers found in favor of Apple on nine of ten counts brought up against them in the case, she issued a permanent injunction that, in 90 days from the ruling, prevented Apple from preventing developers from linking app users to other storefronts from within apps. Under this market, Epic had failed to show that Apple violated federal or state anti-trust laws, but did violate California's competition laws through the anti-competitive behavior of disallowing any mention of other payment systems within apps, Rogers identified that the market of concern was neither games nor Apple's""}]"
111,"[{'summary_text': 'Epic CEO Sweeney stated that the decision ""isn\\\'t a win for developers or for consumers"", that Epic would not be bringing Fortnite back to iOS until ""when and where Epic can offer in-app payment in fair competition with Apple"", and that they would continue to litigate on this matter. Under this market, Judge Rogers concluded that Apple was not a monopoly, and while Apple ""enjoys considerable market share of over 55% and extraordinary high profit margins"", that type of success was not an illegal monopoly. Digital Content Next, a non-profit trade group representing media outlets like'}]"
112,"[{'summary_text': 'Judge Rogers also ruled against Epic, requiring them to pay Apple $3.6 million in revenue that was withheld to Apple related to their attempts to bypass the App Store, and further stated that Epic did violate its contractual terms as a developer with Apple in how they deployed the update to'}]"
113,"[{'summary_text': 'U.S. District Judge Yvonne Gonzalez Rogers rules that Apple Inc. cannot stop mobile app developers from directing users to third-party payment options, issuing a permanent injunction against the company.    ""The U.S."" District Court for the Eastern District of New York issued the injunction against Apple on Tuesday.'}]"
114,"[{'summary_text': 'On 5 September, White House Chief of Staff Ron Klain said that around 100 Americans remain in Afghanistan and that the Biden administration will look for ways to rescue them. [ADD] <Operational history - Kabul airlift> -- U.S. Secretary of State Antony Blinken announces that 21 Americans have been evacuated from Afghanistan.'}]"
115,"[{'summary_text': 'On 10 September, U.S. Secretary of State Antony Blinken announced in a statement that 21 Americans and 11 legal citizens have evacuated from the country. <Casualties> -- ""21 Americans have been evacuated from Afghanistan.""    ""11 legal citizens""'}]"
116,"[{'summary_text': 'U.S. Secretary of State Antony Blinken announces that 21 Americans have been evacuated from Afghanistan.    ""We are in the process of evacuating the remaining Americans,"" Blinken said. ""We have a lot of work to do in Afghanistan,"" he said.'}]"
117,"[{'summary_text': 'In 2015, the Sierra Pacific Synod of the Evangelical Lutheran Church in America (ELCA) installs the Rev. Dr. Megan Rohrer as Bishop. They are the first openly transgender and non-binary Bishop in any major Christian denomination. Also in 2015, bishop Kevin Kanouse, a bishop in the ELCA, came out as gay.'}]"
118,"[{'summary_text': ""On May 8, 2021, Sierra Pacific Synod of the Evangelical Lutheran Church in America (ELCA) elected the Reverend Doctor Megan Rohrer the first openly transgender bishop, the first in any major Christian denomination. [ADD] They were installed September 11, 2021. At the United Methodist Church's General Conference, the delegates voted in favour of a motion to defer the issue of human sexuality to the Council of Bishops to reexamine the Book of Discipline. On 7 May 2018 the Council""}]"
119,"[{'summary_text': 'On 11 September, Tasnim News Agency reporters were allowed into Panjshir. They met with a group of Red Unit Taliban fighters who claimed that all of Pan jshir was captured and resistance forces may have taken shelter in nearby mountainous areas. They also claimed that the situation was calm despite the expiration of the reported ceasefire. Many civilians were seen fleeing the area fearing of renewed clashes. Reporters also interviewed a NRF supporter who blamed the Taliban for not establishing an inclusive government. He also claimed'}]"
120,"[{'summary_text': 'Ahmadi had loaded bottles of water into his trunk for his family and for his neighbors, which a New York Times investigation suggested had been mistakenly identified by the U.S. military as explosives, prompting the fatal airstrike. Water deliveries had stopped in his neighborhood following the collapse of the government. [RM] US officials claimed the vehicle had visited an alleged ISIS safe house and that secondary explosions had occurred after the airstrike, but no evidence of a secondary explosion was found at the site, and the location that the drone had tracked Ahmadi to'}]"
121,[{'summary_text': 'The United States government has faced great criticism owing to the number of civilian casualties and many killed being unintended targets. The Pentagon later acknowledged that Ahmadi and vehicle he was driving posed no threat and that there was no connection between him and ISIS-K. Amnesty International USA has also questioned the legality of drone attacks.'}]
122,"[{'summary_text': 'At the same time, a ballot initiative was launched that aims at the decriminalization of the cultivation of marijuana, as well as the repeal of penalties for cannabis possession, by amending the relevant laws through a referendum. In particular, the objective of the campaign is to amend several articles of the Presidential Decree DPR 309/90 of 1990, regarding the discipline of narcotics and psychotropic substances, prevention, treatment, and rehabilitation of the related stages of substance dependence, which is reportedly responsible for 35% of the current prison population in Italy. The initiative is supported by several pro-legalization organizations, including ARCI and the Luca Coscion'}]"
123,"[{'summary_text': 'Cannabis inflorescences are classified as narcotics and their pharmaceutical use is strictly regulated in accordance with the aforementioned UN Conventions of 1961 and 1971, EU regulations, as well as national legislation, including the aforementioned DPR 309/90 of 1990. In its first week of operation, the campaign collected 400 thousand signatures in less than four days and reached the required 500 thousand signatures well before the deadline set at the end of September, which will allow the referendum to take place as early as spring 2022. The speed at which the signatures were collected was made possible by a law approved in July 2021 that allows for signatures to be collected online, while previously'}]"
124,[{'summary_text': 'Activists in Italy say that they have gathered enough signatures in order to trigger a referendum on liberalising the use of cannabis.    Activists say they want a referendum to be held on the issue of liberalising cannabis use in Italy.  The referendum would be the first of its kind in the country since it was legalized in 1998.'}]
125,[{'summary_text': 'Mayor of Manila Isko Moreno announces his candidacy for the President of the Philippines in the upcoming 2022 elections.   Moreno is the current Mayor of Manila and the current mayor of the city of Manila.  Moreno was elected mayor of Manila in 2010 and was re-elected in 2012.'}]
126,"[{'summary_text': 'On 22 September in Melbourne city there was another protest with up to 1,000 people converging on the Shrine of Remembrance. After a stand-off for a few hours with police surrounding them, protesters dispersed at about 5pm. Two police officers were injured by thrown bottles and more than 200 people were arrested. An estimated 300 fines were issued for not complying with stay-at-home directives. The lockdown of Ballarat ended at midnight this day. With 766 new daily cases, another record high was set.'}]"
127,"[{'summary_text': 'By 23 September, at 235 days, Melbourne set a record for the worlds\\\' longest lockdown. As of this date, the city is expected to be locked down until ""late October"". <Event cancellations> -- Victoria reports a record 766 new cases and four deaths from COVID-19 in the past 24 hours.  '}]"
128,"[{'summary_text': 'Singapore reports a record 1,504 new cases of COVID-19 in the past 24 hours, bringing the nationwide total of confirmed cases to 82,856.    ""Singaporeans"" have reported a record number of cases of the deadly drug in the city-state.'}]"
129,"[{'summary_text': 'The COVID-19 pandemic in the United States is part of the worldwide pandemic of coronavirus disease 2019 (COVID- 19). 80,140,309 confirmed cases have been reported since January 2020, with 982,371 deaths, the most of any country, and the twenty-second-highest per capita worldwide. As many infections have gone undetected, the Centers for Disease Control and Prevention (CDC) estimated that, as of May 2021, there could be a total 120.2 million infections in the U.S., or more than a third of the total population.'}]"
130,"[{'summary_text': 'In late November 2019, COVID-19 infections had first broken out in Wuhan, China. China publicly reported the cluster on December 31, 2019. After China confirmed that the cluster of infections was caused by a novel infectious coronavirus on January 7, 2020, the CDC issued an official health advisory the following day. On January 20, the World Health Organization (WHO) and China both confirmed that human-to-human transmission had occurred. The CDC immediately activated its Emergency Operations Center (EOC) to respond to the outbreak in China. Also, the first'}]"
131,"[{'summary_text': 'On July 6, 2021, the United States Department of State announced the country\'s withdrawal from WHO effective July 6. On July 10, the CDC adopted the Infection Fatality Ratio (IFR), ""the number of individuals who die of the disease among all infected individuals (symptomatic and asymptomatic)"", as a new metric for disease severity. In July, US PIRG and 150 health professionals sent a letter asking the federal government to ""shut it down now, and start over"". In July and early August, requests multiplied, with a number'}]"
132,"[{'summary_text': 'In August, over 400,000 people attended the 80th Sturgis Motorcycle Rally in South Dakota, and from there, at least 300 people in more than 20 states were infected. The CDC followed up with a report on the associated 51 confirmed primary event-associated cases, 21 secondary cases, and five tertiary cases in the neighboring state of Minnesota, where one attendee died of COVID-19. In July and early August, requests multiplied, with a number of experts asking for lockdowns of ""six to eight weeks"" that they believed would restore the country by October'}]"
133,"[{'summary_text': ""USA Today studied the aftermath of presidential election campaigning, recognizing that causation was impossible to determine. Among their findings, cases increased 35 percent compared to 14 percent for the state after a Trump rally in Beltrami County, Minnesota. One case was traced to a Joe Biden rally in Duluth, Minnesota on November 9, President-elect Biden's transition team announced his COVID-19 Advisory Board.""}]"
134,"[{'summary_text': ""On January 28, 2020, the CDC updated its China travel recommendations to level 3, its highest alert. On February 8, the WHO's director-general announced that a team of international experts had been assembled to travel to China and he hoped officials from the CDC would also be part of that mission. [ADD] On October 1, the U.S. passed 700,000 deaths.  On February 7, the State Department said it had facilitated the transportation of nearly eighteen tons of medical supplies to China, including masks, gowns, gauze, respirators, and other vital materials. On the same day,""}]"
135,"[{'summary_text': 'As of September 15, 2020, Blacks had COVID-19 mortality rates more than twice as high as the rate for Whites and Asians, who have the lowest rates. CNN reported in May 2020 that the Navajo Nation had the highest rate of infection in the United States.'}]"
136,"[{'summary_text': 'The United States surpasses 700,000 deaths from COVID-19. nan -- The U.S. has the highest death toll of any nation in the history of COVID. nan. The United States has the largest number of deaths in COVID, followed by Russia and China.'}]"
137,"[{'summary_text': 'The elections for the Consultative Assembly were originally scheduled to be held in the second half of 2013, but were postponed in June 2013 until at least 2016. In 2016 they were postponed again. Finally in November 2020 Emir Tamim bin Hamad Al Thani pledged to hold the election in October 2021.'}]"
138,"[{'summary_text': ""The elections were originally scheduled to be held in the last six months of 2013, but were postponed prior to the retiring Emir Hamad bin Khalifa Al Thani transferring power to his son Tamim bin Hamad Al-Thani. The Consultative Assembly's term was extended until 2016 and then until 2019.""}]"
139,"[{'summary_text': 'On 29 July 2021 Al Thani approved the electoral law, which mandated the thirty members being elected from single-member constituencies by first-past-the-post voting. The law requires candidates to be at least thirty years old and \'of Qatari origin\' (according to the 2005 nationality law). This limited voting to those descended from people who held citizenship in 1930, barring people who had been naturalised and members of the Al Murrah tribe from contesting the election and leading to protests. Political parties are banned and all candidates ran as independents.""'}]"
140,"[{'summary_text': 'Qataris head to the polls to elect 30 members of the Consultative Assembly in the country\'s first legislative elections.    ""It is the first time Qataris have been able to vote in a national election,"" says a Qatari official.  ""The election will be the first in the history of Qatar,"" he says.'}]"
141,"[{'summary_text': 'Qataris head to the polls to elect 30 members of the Consultative Assembly in the country\'s first legislative elections.    ""It is the first time Qataris have been able to vote in a national election,"" says a Qatari official.  ""The election will be the first in the history of Qatar,"" he says.'}]"
142,"[{'summary_text': 'On 16 March 2020, Preynat received a five-year prison sentence after being convicted of sexually assaulting boy scouts. On 16 December 2020, former French nuncio Luigi Ventura received a suspended eight-month prison sentence for sexually harassment, which includes probation and a required payment of €13,000 to the victims, as well as €9,000 in legal fees. On 9 November 2019, the Conference of French Bishops approved a resolution agreeing that every French Catholic Bishop would pay compensation for abuse which took place in the French Catholic Church.'}]"
143,"[{'summary_text': 'On 3 October 2021, a commission released a report stating that since the 1950s, there have been about 3,000 pedophiles among the ranks of Catholic clergy in France. The report found the estimation among more than 115,000 priests and religious officials. Around 80% of the victims were male and 20% female. The orders were among the last Catholic church organizations in Germany to address sex abuse. Despite the facts that women make up the largest membership of German religious orders, male religious order members had the largest share of sex abuse accusations.'}]"
144,"[{'summary_text': 'On October 4, 2021, Facebook and their subsidiaries including Instagram and WhatsApp were made globally unavailable. The outage is ongoing and the cause is not yet known. Other popular social media platforms, such as Twitter were struggling to maintain the load of users coming to their platforms following the outage. Security experts identified the problem as possibly being DNS-related and was most particularly related to BGP.'}]"
145,"[{'summary_text': 'Australia and New Zealand were praised for their handling of the pandemic in comparison to other Western nations, with New Zealand and each state in Australia wiping out all community transmission of the virus several times even after re-introduction in the community. [RM] However, by August 2021, both New South Wales and Victoria had conceded defeat in their eradication efforts.'}]"
146,"[{'summary_text': 'In early October 2021, New Zealand also abandoned its elimination strategy. In some cases, these positive test results were reported by the media and/or by the relevant health authorities as confirmed cases, but this is not necessarily indicative of active SARS-CoV-2 infection due to most COVID-19 tests analysing past presence of the virus through the detection of relevant antibodies or through the'}]"
147,"[{'summary_text': 'As of 22 September 2021, Australia has reported 88,710 cases and 1,178 deaths. There are around 19,500 active cases in Australia. No deaths from COVID-19 were recorded in Australia from 28 December 2020 until 13 April 2021, when an overseas returned traveller died at The Prince Charles Hospital, Brisbane. There were then none until 11 July, when NSW Health reported a CO VID-19 death from the current NSW Delta outbreak.'}]"
148,"[{'summary_text': ""As of 24 August 2021, the external territory Norfolk Island has not had any confirmed cases. Administrator Eric Hutchinson stated that the measures were necessary due to the remote island's extremely limited health capacity. In late August, Victoria also reported its first deaths since the end of the outbreak in June 2020 that saw the longest lockdown period in Australia at the time. Lockdown measures began to be lifted from 6 May 2020.""}]"
149,"[{'summary_text': 'On 5 June 2021, the first positive PCR test result in the Cook Islands was obtained which was reported in the media. However, it was determined to be a non-infectious historical known case of a person who had earlier completed quarantine in New Zealand and therefore not counted as an active confirmed case, however already ""recovered""'}]"
150,"[{'summary_text': 'As a precautionary measure, various travel and quarantining restrictions have been put in place. New Zealand drops the elimination strategy to combat COVID-19 in favour of a new model that contains vaccination rates amid the continued outbreak of the SARS-CoV-2 Delta variant.'}]"
151,"[{'summary_text': 'Canadian federal government announces a nationwide COVID-19 vaccine mandate for rail and train passengers and will place unvaccinated core federal employees under unpaid leave as early as November 15 if they had not disclose their vaccination status by October 29.  198,370 Moderna, 5,850 Pfizer-BioNTech and 460 Oxford-AstraZeneca vaccine doses have been kept for ""Federal Application"" for use with the Public Health Agency of Canada (PHAC), Canadian Armed Forces and the Correctional Service of Canada.'}]"
152,"[{'summary_text': 'On a federal scale, the Government of Canada has promised to mandate vaccination to all federally-regulated industries in Canada (including some private industries). [RM] As well, anyone wishing to travel on a federally- regulated transportation method must show proof of vaccination. Most education institutions like colleges and universities nationwide have announced mandates for employees and students and for-profit long term care home companies such as Chartwell Retirement Residences, Revera and Sienna Senior Living have all announced mandates'}]"
153,"[{'summary_text': 'The earthquake occurred during the rupture of a thrust fault under the Sulaiman Mountains and Central Brāhui Range. It was followed by a magnitude 4.6 aftershock. The earthquake was revised from an initial estimation of 5.7 at 20.8 km depth to 5.9 at 9.0 km. At least 20 people died, mostly women and children. An unspecified number of residents were buried under the rubble of collapsed buildings, and'}]"
154,"[{'summary_text': ""Victoria reports a record 1,838 new cases and five deaths from COVID-19 in the past 24 hours, which is the highest daily total of new cases of any Australian state or territory since the beginning of the pandemic.    active infections reached 14,368 – over twice the peak of the 2020 'second wave\\'""}]"
155,"[{'summary_text': 'The 2020 Australian Grand Prix (scheduled for 15 March) was cancelled. Victoria reports a record 1,838 new cases and five deaths from COVID-19 in the past 24 hours, which is the highest daily total of new cases of any Australian state or territory since the beginning of the pandemic.'}]"
156,"[{'summary_text': ""There were also 1,838 new cases, a new state and national record high, again surpassing the 1,599 case record in NSW, and the states\\' own record set on 5 October. construction sites reopened at 25% capacity, after a 2 week shutdown <Timeline - October>""}]"
157,"[{'summary_text': 'On 13 October 2021, a man shot multiple people with a bow and arrow in Kongsberg, Norway, a town about 70 kilometres (43 mi) west of the capital city Oslo. Several people have been injured and killed, and a suspected perpetrator has been taken into custody. The attacker reportedly targeted people at several locations before being arrested.'}]"
158,"[{'summary_text': 'The suspect is 37-year-old Espen Andersen Bråthen, who authorities believe acted alone. He was born in Norway to a Norwegian father and a Danish mother and had lived his entire life in the country. Bra̋then was known to the police and had converted to Islam around 2016. Police had last been in contact with him in 2020, and they had been concerned about his possible extremist views. He has several prior criminal convictions for break-ins, cannabis possession, and threats against family members.'}]"
159,"[{'summary_text': '"" Bråthen was known to the police and had converted to Islam around 2016. However, he did not appear on their radar in 2021. The chairman for the board of a Kongsberg mosque recalled Bra̋then visiting the mosque three times years ago; according to him, Brḁthen was tense and did not pray or know a lot about Islam. He considered contacting the police but did not have anything to go on. On the day after the attack, flags were flown at half-mast on all public buildings and candles were lit on the steps of Kong'}]"
160,"[{'summary_text': ""The Taliban says that they will step up security at Shi'ite mosques after IS-KP bombed mosques in Kunduz and Kandahar this month, killing over 120 people in total. The Islamic State – Khorasan Province claimed responsibility for the attack according to a statement released by the group's media wing, Amaq.""}]"
161,"[{'summary_text': 'Essex Police said a ""25-year-old man was quickly arrested after officers arrived at the scene on suspicion of murder and a knife was recovered"". At around 6:32 p.m. on 15 October, Essex Police announced that the investigation had been handed over to counter-terrorist officers. Later in the day, the BBC reported that a government source said the suspect is a British national who may have Somali heritage.'}]"
162,"[{'summary_text': 'On 30 September 2021, an agreement was reached in Brussels that effectively ended the ban on Serbian license plates, starting 08:00 local time, 4 October 2021. The agreement also effectively end the Ban on Kosovar license plates in Serbia.  The agreement is intended as a temporary solution. The solution is to cover the national symbols of Kosovo on Kos'}]"
163,"[{'summary_text': 'Negotiators from the governments of Kosovo and Serbia, meet for the first time in Brussels. If negotiations are successful, the group will announce their proposals in 6 months. nan -- A working group to find a more permanent solution to the license plate issue, consisting of negotiators from the'}]"
164,"[{'summary_text': 'Ali Harbi Ali is charged with the murder of David Amess and remanded to Belmarsh prison. He is due to be tried on March 7, 2022. Just after midnight, police identified the stabbing as a terrorist incident potentially motivated by Islamic extremism. Police searched three addresses in London over the weekend following the stabbing.'}]"
165,"[{'summary_text': 'On 21 October 2021, Ali Harbi Ali, a British-born national of Somali heritage was charged with the murder of Amess and the preparation of terrorist acts. In 2014, as a teenager, Ali was referred to the Prevent programme, Britain\'s voluntary programme for those thought at risk of radicalisation, from which he was referred on to the Channel Programme. He is believed to not have spent long in the programme, and he was not a ""subject of interest"" to MI5. [ADD] North London.'}]"
166,"[{'summary_text': 'On 21 October 2021, Ali Harbi Ali, a British-born national of Somali heritage was charged with the murder of Amess and the preparation of terrorist acts. On 22 October, he appeared at the Old Bailey via video link from Belmarsh, during which he was remanded in custody. The safety of MPs during open, public constituency surgeries was debated by politicians. Calls to enact a law to crack down on online targeting of MPs and end anonymity were made. The Conservatives suspended political campaigning.'}]"
167,"[{'summary_text': ""On 19 December 2016, a truck was deliberately driven into the Christmas market next to the Kaiser Wilhelm Memorial Church at Breitscheidplatz in Berlin, leaving 12 people dead and 56 others injured. One of the victims was the truck's original driver, Łukasz Urban, who was found shot dead in the passenger seat. The truck was eventually stopped by its automatic brakes. The perpetrator was Anis Amri, an unsuccessful asylum seeker from Tunisia. Four days after the attack, he was killed in a shootout with police near Milan in Italy.""}]"
168,"[{'summary_text': 'An X-class solar flare, the second of the current solar cycle, erupts. An associated coronal mass ejection may graze Earth on October 30 or 31, which could cause bright aurorae and interfere with satellite communications.    ""X-class"" is the second most powerful solar flare in the solar system.'}]"
169,"[{'summary_text': 'The 16th G20 summit begins for the first time in person after the beginning of the pandemic with Russian President Vladimir Putin and Chinese President Xi Jinping appearing via video link.   ""The G20 Summit"" is the first G20 meeting to take place in person since the pandemics began.'}]"
170,"[{'summary_text': 'On 2 November 2021, a major insurgent attack occurred at the Sardar Mohammad Daud Khan hospital in Kabul, Afghanistan. At least 25 people were killed and more than 50 others were wounded. Four of the attackers are killed and a fifth is arrested by the Taliban.'}]"
171,[{'summary_text': 'On 25 October 17 people were killed in clashes between several gunmen and Taliban forces in the city of Herat On the same day it was announced that Tajikistan and China had reached an agreement for China to fund construction for a new Tajik military base and that Chinese forces can completely operate a military base near the Afghan border.'}]
172,"[{'summary_text': 'On 2 November, the 2021 Kabul hospital attack took place where assailants attacked the Daoud Khan Military Hospital with guns and suicide bombers killing at least 25 people and wounding 50+ more. Four of the attackers are killed and a fifth is arrested by the Taliban. At least 50 people were wounded in the attack.'}]"
173,"[{'summary_text': ""After a long build-up of Eritrean and Amhara forces on Tigray's borders, the actual fighting between Tigray forces and the Ethiopia-Eritrea-Amhara alliance began on 3 November 2020, with attacks on the federal Northern Command bases and headquarters of the ENDF in the Tigray Region by Tigray security forces. Counterattacks by the EN DF in Tigray were described as a police action by federal authorities. Federal forces captured Mekelle, the capital of the TigRay Region, on 28 November, after which Prime Minister Abiy declared the Tig""}]"
174,"[{'summary_text': 'There has been weeks of fighting around Dessie, with reports of a lynching carried out by Amhara miliitia on Wollo University professors. On 30 October 2021, it was reported that D Essie had fallen to the Tigray Defense Forces. This would be a major development, as it is the largest city in South Wollo and puts the TDF in a position to launch attacks into several strategic areas of Ethiopia. However, control over the city was not immediately certain, with the Federal Government denying its capture and reports'}]"
175,"[{'summary_text': 'Ethiopia declares a six-month state of emergency as the Tigray Defense Forces (TDF) and Oromo Liberation Army gain control over areas outside of Tigray and the TDF announces its intention to advance to the Ethiopian capital, Addis Ababa. Thousands of people believed to have been killed in the conflict and around 44,000 fled to Sudan.'}]"
176,"[{'summary_text': 'On 2 November 2021, as the offensive came deeper into federally-controlled territory, Addis Ababa declared a six-month state of emergency, which envisages the possibility to arrest and detain critics of the government without a court warrant, impose curfews, institute censorship, restrict freedom of movement as well as to call any adult person to fight in the war, for fear of serving from three to ten years in prison. Authorities in Ethiopia also told residents to register arms in order to fend off the anticipated offensive, and four other regional'}]"
177,"[{'summary_text': 'Ethiopia declares a six-month state of emergency as the Tigray Defense Forces (TDF) and Oromo Liberation Army gain control over areas outside of Tigray and the TDF announces its intention to advance to the Ethiopian capital, Addis Ababa.    ""Citizens are told to register arms and prepare to defend their neighbourhoods""'}]"
178,"[{'summary_text': 'One-term Democrat Governor Phil Murphy is eligible for re-election, and is seeking a second term. Former State assemblyman Jack Ciattarelli won the Republican primary. The Libertarian Party nominated Gregg Mele, the Green Party Madelyn Hoffman, and the Socialist Workers Party Joanne Kuniansky. Major media sources, including the Associated Press projected that Murphy has won re- election. Former governor Terry McAuliffe won the Democratic primary and former co-CEO of The Carlyle Group Glenn Youngkin was nominated at the Republican convention. Liberation Party candidate Princess Blanding ran unsucessfully in the race as well.'}]"
179,"[{'summary_text': 'Phil Murphy defeats Republican former state legislator Jack Ciattarelli, making him the first Democrat to be re-elected since Brendan Byrne in 1977. Incumbent New Jersey Governor Phil Murphy defeated Republican former New Jersey state legislator and former state senator Jack Ciatarelli. Murphy is the first Democratic governor to win re-election since the 1970s.'}]"
